example_id                                                  | status | run_time        |
./spec/models/user_spec.rb[1:2:5:1]                         | passed | 0.00065 seconds |
./spec/models/user_spec.rb[1:2:6:1]                         | passed | 0.00132 seconds |
./spec/models/user_spec.rb[1:2:7:1]                         | passed | 0.00066 seconds |
./spec/models/user_spec.rb[1:2:8:1]                         | passed | 0.00045 seconds |
./spec/models/user_spec.rb[1:2:9:1]                         | passed | 0.0013 seconds  |
./spec/models/user_spec.rb[1:2:10:1]                        | passed | 0.00054 seconds |
./spec/models/user_spec.rb[1:2:11:1]                        | passed | 0.00049 seconds |
./spec/models/user_spec.rb[1:2:12:1]                        | passed | 0.00306 seconds |
./spec/models/user_spec.rb[1:2:13:1]                        | passed | 0.00039 seconds |
./spec/models/user_spec.rb[1:2:14:1]                        | passed | 0.00039 seconds |
./spec/models/user_spec.rb[1:2:15:1]                        | passed | 0.00035 seconds |
./spec/models/user_spec.rb[1:2:16:1]                        | passed | 0.00035 seconds |
./spec/models/user_spec.rb[1:2:17:1]                        | passed | 0.00036 seconds |
./spec/models/user_spec.rb[1:2:18:1]                        | passed | 0.00243 seconds |
./spec/models/user_spec.rb[1:2:19:1]                        | passed | 0.00235 seconds |
./spec/models/user_spec.rb[1:2:20:1]                        | passed | 0.00037 seconds |
./spec/models/user_spec.rb[1:2:21:1]                        | passed | 0.00056 seconds |
./spec/models/user_spec.rb[1:2:22:1]                        | passed | 0.00044 seconds |
./spec/models/user_spec.rb[1:2:23:1]                        | passed | 0.00043 seconds |
./spec/models/user_spec.rb[1:2:24:1]                        | passed | 0.0005 seconds  |
./spec/models/user_spec.rb[1:2:25:1]                        | passed | 0.00038 seconds |
./spec/models/user_spec.rb[1:2:26:1]                        | passed | 0.00041 seconds |
./spec/models/user_spec.rb[1:2:27:1]                        | passed | 0.00185 seconds |
./spec/models/user_spec.rb[1:2:28:1]                        | passed | 0.00037 seconds |
./spec/models/user_spec.rb[1:2:29:1]                        | passed | 0.00181 seconds |
./spec/models/user_spec.rb[1:2:30:1]                        | passed | 0.00138 seconds |
./spec/models/user_spec.rb[1:2:31:1]                        | passed | 0.00154 seconds |
./spec/models/user_spec.rb[1:2:32:1]                        | passed | 0.0005 seconds  |
./spec/models/user_spec.rb[1:2:33:1]                        | passed | 0.00038 seconds |
./spec/models/user_spec.rb[1:2:34:1]                        | passed | 0.00304 seconds |
./spec/models/user_spec.rb[1:2:35:1]                        | passed | 0.00049 seconds |
./spec/models/user_spec.rb[1:2:36:1]                        | passed | 0.00048 seconds |
./spec/models/user_spec.rb[1:2:37:1]                        | passed | 0.00224 seconds |
./spec/models/user_spec.rb[1:2:38:1]                        | passed | 0.00038 seconds |
./spec/models/user_spec.rb[1:2:39:1]                        | passed | 0.00042 seconds |
./spec/models/user_spec.rb[1:2:40:1]                        | passed | 0.0021 seconds  |
./spec/requests/sessions_spec.rb[1:1:1:1]                   | passed | 0.00094 seconds |
./spec/requests/sessions_spec.rb[1:1:2:1]                   | passed | 0.0029 seconds  |
./spec/requests/sessions_spec.rb[1:1:3:1]                   | passed | 0.00546 seconds |
./spec/requests/sessions_spec.rb[1:1:3:2]                   | passed | 0.02267 seconds |
./spec/requests/sessions_spec.rb[1:2:1]                     | passed | 0.00155 seconds |
./spec/requests/sessions_spec.rb[1:2:2:1]                   | passed | 0.00525 seconds |
./spec/requests/sessions_spec.rb[1:2:2:2]                   | passed | 0.00419 seconds |
./spec/requests/sessions_spec.rb[1:2:2:3]                   | passed | 0.00437 seconds |
./spec/requests/sessions_spec.rb[1:3:1]                     | passed | 0.02524 seconds |
./spec/requests/sessions_spec.rb[1:3:2:1]                   | passed | 0.01109 seconds |
